notes_clean,injured,activated,days_injured,injury_type,injury_duration,player_name,year_end,position,height,weight,college,career_length,prior_injuries
placed on il with fractured nose,2022-10-29,2022-11-16,18.0,bone,medium,A.C. Green,2001,F-C,6-9,220.0,Oregon State,16,0
placed on ir with back strain,1999-11-01,1999-11-30,29.0,muscle,medium,A.J. Bramlett,2000,C,6-10,227.0,Arizona,1,0
placed on il with sprained right knee,2000-11-30,2001-02-28,90.0,joint,long,A.J. Guyton,2003,G,6-1,180.0,Indiana,3,0
placed on il with left ankle tendinitis,2001-11-10,2001-11-21,11.0,joint,medium,A.J. Guyton,2003,G,6-1,180.0,Indiana,3,1
placed on il with strained left hamstring,2001-12-20,2002-01-03,14.0,muscle,medium,A.J. Guyton,2003,G,6-1,180.0,Indiana,3,2
placed on il with bruised left shoulder,2002-04-03,2002-04-13,10.0,joint,medium,A.J. Guyton,2003,G,6-1,180.0,Indiana,3,3
placed on il with illness,2017-10-18,2017-10-21,3.0,illness,short,A.J. Hammons,2017,C,7-0,260.0,Purdue,1,0
placed on il with sprained left ankle,2010-11-07,2010-12-19,42.0,joint,medium,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,0
placed on il with soresprained left ankle,2011-01-05,2011-01-10,5.0,joint,short,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,1
placed on il with flu,2013-01-12,2013-01-14,2.0,illness,short,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,2
placed on il with sore knee,2016-10-28,2016-11-01,4.0,joint,short,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,3
placed on il with sore right knee,2017-01-23,2017-01-26,3.0,joint,short,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,4
placed on il with illness,2017-12-27,2017-12-28,1.0,illness,short,Aaron Brooks,2018,G,6-0,161.0,Oregon,11,5
placed on il with fractured left foot,2014-11-26,2015-01-18,53.0,bone,long,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,0
placed on il with sprained right ankle,2015-02-27,2015-03-04,5.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,1
placed on il with concussion,2016-04-08,2016-04-13,5.0,concussion,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,2
placed on il with sore left ankle,2017-10-20,2017-10-24,4.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,3
placed on il with concussion,2017-12-13,2017-12-15,2.0,concussion,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,4
placed on il with strained right calf dtd,2017-12-17,2017-12-28,11.0,muscle,medium,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,5
placed on il with sprained left ankle,2018-11-11,2018-11-12,1.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,6
placed on il with bruised right ankle,2019-11-23,2019-11-29,6.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,7
placed on il with right knee inflammation,2020-03-02,2020-03-04,2.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,8
placed on il with strained left hamstring out for season,2020-08-07,2021-03-11,216.0,muscle,long,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,9
placed on il with sprained left ankle,2021-02-01,2021-03-11,38.0,joint,medium,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,10
placed on il with left hamstring injury,2021-12-23,2022-01-01,9.0,muscle,medium,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,11
placed on il with left hamstring injury,2022-02-02,2022-02-03,1.0,muscle,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,12
placed on il with left hamstring injury,2022-02-04,2022-02-06,2.0,muscle,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,13
placed on il with left hamstring injury out for season,2022-04-10,2022-11-22,226.0,muscle,long,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,14
placed on il with illness,2022-11-16,2022-11-22,6.0,illness,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,15
placed on il with strained right shoulder,2022-12-27,2022-12-30,3.0,muscle,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,16
placed on il with sprained left ankle,2023-02-02,2023-02-04,2.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,17
placed on il with sprained left ankle,2023-02-05,2023-02-07,2.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,18
placed on il with right shoulder inflammation,2023-04-06,2023-04-08,2.0,joint,short,Aaron Gordon,2022,F,6-8,235.0,Arizona,8,19
placed on il with stress fracture in left fibula,2009-10-29,2009-11-26,28.0,bone,medium,Aaron Gray,2014,C,7-0,270.0,Pitt,7,0
placed on il with sprained ankle,2011-01-21,2011-02-01,11.0,joint,medium,Aaron Gray,2014,C,7-0,270.0,Pitt,7,1
placed on il with illness,2021-12-30,2022-01-03,4.0,illness,short,Aaron Henry,2022,F,6-6,210.0,Michigan State,1,0
placed on il with illness,2021-12-01,2021-12-03,2.0,illness,short,Aaron Holiday,2022,G,6-0,185.0,UCLA,4,0
placed on il with sore right ankle,2022-02-25,2022-02-27,2.0,joint,short,Aaron Holiday,2022,G,6-0,185.0,UCLA,4,1
placed on il with sprained right shoulder,1995-01-19,1995-02-14,26.0,joint,medium,Aaron McKie,2007,G,6-5,209.0,Temple,13,0
placed on il with strained left rotator cuff,2004-11-12,2004-11-26,14.0,muscle,medium,Aaron McKie,2007,G,6-5,209.0,Temple,13,1
placed on il with strained left quadriceps,2006-03-19,2006-03-20,1.0,muscle,short,Aaron McKie,2007,G,6-5,209.0,Temple,13,2
placed on il with sprained right ankle,2022-01-19,2022-01-23,4.0,joint,short,Aaron Nesmith,2022,G-F,6-5,215.0,Vanderbilt,2,0
placed on il with sprained right ankle,2022-03-05,2022-03-21,16.0,joint,medium,Aaron Nesmith,2022,G-F,6-5,215.0,Vanderbilt,2,1
placed on il with sprained right ankle,2022-12-23,2022-12-26,3.0,joint,short,Aaron Nesmith,2022,G-F,6-5,215.0,Vanderbilt,2,2
placed on il with illness,2023-01-11,2023-01-14,3.0,illness,short,Aaron Nesmith,2022,G-F,6-5,215.0,Vanderbilt,2,3
placed on il with sprained ankle,1994-11-03,1994-11-15,12.0,joint,medium,Aaron Swinson,1995,F,6-5,230.0,Auburn,1,0
placed on il with tendinitis in knee,1994-12-12,1994-12-29,17.0,joint,medium,Aaron Swinson,1995,F,6-5,230.0,Auburn,1,1
